Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
07/24/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
07/25/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
07/29/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
07/30/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
07/31/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/01/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/04/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/05/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/06/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/07/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/08/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/11/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/12/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/13/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/14/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/15/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/18/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/19/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/20/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/21/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/22/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/25/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/26/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/27/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
08/29/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/01/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/02/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/03/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/04/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/05/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/09/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/10/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/11/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/12/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/15/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/16/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/17/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/18/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/19/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/22/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/23/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/24/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/25/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/26/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/29/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
09/30/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/01/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/02/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/03/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/06/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/07/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/08/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/09/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/10/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/13/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/14/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/15/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/16/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/17/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/20/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/21/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/22/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
10/24/2014,550.0,nan,nan,550.0,0.0,0,0.0,0.0
